Year,Lake,Rainbow Smelt,Suckers,Lake Trout,Walleye,Channel Catfish,Burbot,Carp,Yellow Perch
1934,Huron,NA,4248,10192,4056,72,NA,2146,1360
1934,Michigan,1031,2179,4956,161,3,40,1320,1276
1934,Ontario,NA,47,270,54,NA,8,99,169
1934,Saint Clair,NA,0,NA,33,NA,NA,531,43
1934,Superior,NA,163,4635,92,NA,NA,NA,NA
1935,Erie,NA,1087,NA,2103,437,303,2569,14679
1935,Huron,4,3532,11998,4020,112,NA,2226,2338
1935,Michigan,835,2623,4873,99,2,40,1054,1740
1935,Ontario,NA,51,252,46,NA,5,200,222
1935,Saint Clair,NA,0,NA,35,NA,NA,339,39
1935,Superior,0,227,4995,92,NA,NA,NA,NA
1936,Erie,NA,946,NA,2963,12,455,3048,3305
1936,Huron,0,3626,11432,3990,198,NA,1618,2600
1936,Michigan,1202,2686,4763,116,23,34,1487,2507
1936,Ontario,NA,38,235,35,NA,7,188,220
1936,Saint Clair,NA,0,NA,45,NA,NA,309,33
1936,Superior,0,191,4829,89,NA,NA,NA,NA
1937,Erie,NA,1103,NA,3509,11,370,2381,3442
1937,Huron,0,3452,10484,4094,232,NA,NA,1406
1937,Michigan,1427,2382,4988,78,10,40,1925,2489
1937,Ontario,NA,49,218,26,NA,36,239,197
1937,Saint Clair,NA,0,NA,48,NA,NA,310,32
1937,Superior,0,447,4784,72,NA,NA,NA,NA
1938,Erie,NA,756,NA,3644,22,262,2583,7783
1938,Huron,0,3576,10140,3432,272,NA,NA,1306
1938,Michigan,1854,1858,4905,50,9,34,1874,2203
1938,Ontario,NA,129,293,17,NA,19,279,226
1938,Saint Clair,NA,0,NA,49,NA,NA,303,29
1938,Superior,4,288,4835,135,NA,NA,NA,NA
1939,Erie,NA,1009,NA,5354,18,378,2756,3014
1939,Huron,0,2764,9148,3992,234,NA,1588,1748
1939,Michigan,1992,1853,5660,46,23,42,1689,3090
1939,Ontario,NA,54,285,16,NA,9,1168,177
1939,Saint Clair,NA,0,NA,59,NA,NA,386,39
1939,Superior,0,159,4052,143,NA,NA,NA,NA
1940,Erie,NA,714,NA,4296,28,371,2784,5023
1940,Huron,0,2686,7334,3788,488,NA,1442,1648
1940,Michigan,4209,2016,6265,43,49,35,1978,2575
1940,Ontario,NA,35,201,10,NA,13,946,154
1940,Saint Clair,NA,0,NA,54,NA,NA,424,35
1940,Superior,0,158,3956,166,NA,NA,NA,NA
1941,Erie,NA,698,NA,3256,21,511,2841,5872
1941,Huron,40,2626,7432,3596,772,NA,1446,1282
1941,Michigan,4775,1934,6787,44,39,42,2057,2415
1941,Ontario,NA,52,129,10,NA,46,244,133
1941,Saint Clair,NA,0,NA,83,NA,NA,518,66
1941,Superior,0,138,4153,138,NA,NA,NA,NA
1942,Erie,NA,699,NA,3393,40,374,2683,2924
1942,Huron,3,2392,5850,4724,794,NA,1588,1828
1942,Michigan,3353,2251,6485,31,67,46,1746,2648
1942,Ontario,NA,19,91,13,NA,0,272,234
1942,Saint Clair,NA,0,NA,60,NA,NA,208,33
1942,Superior,1,149,4320,95,NA,NA,NA,NA
1943,Erie,NA,576,NA,3676,63,378,2548,1964
1943,Huron,0,2826,4136,3880,790,NA,2552,2710
1943,Michigan,2225,2201,6860,51,96,58,1511,3135
1943,Ontario,NA,45,79,46,NA,7,266,233
1943,Saint Clair,NA,0,NA,48,NA,NA,130,35
1943,Superior,0,203,4377,224,NA,NA,NA,NA
1944,Erie,NA,456,NA,4274,35,238,2123,3561
1944,Huron,0,2470,3006,2824,650,NA,2380,1892
1944,Michigan,4,2223,6497,76,62,41,1217,2873
1944,Ontario,NA,33,78,52,NA,0,232,197
1944,Saint Clair,NA,0,NA,53,NA,NA,246,40
1944,Superior,0,166,5292,133,NA,NA,NA,NA
1945,Erie,NA,427,NA,6387,44,371,2292,2559
1945,Huron,4,3108,2070,1784,766,NA,4862,1322
